10000,0.0018725733,0.0000195313
20000,0.0034606991,0.0000195692
30000,0.0055557152,0.0000294944
40000,0.0077523420,0.0000485848
50000,0.0102402943,0.0000582588
60000,0.0126400618,0.0000666397
70000,0.0154860050,0.0000777332
80000,0.0174797411,0.0000871774
90000,0.0205757597,0.0001077207
100000,0.0225854238,0.0001004670
